제목,본문
이 얼굴로 게이연기,내 주변에 이렇게 생긴 게이있으면 미칠듯  
키큰거 솔직히 짜증남,나 인데 물론 키 크고 마르면 상관 없는데 조금만 살쪄도 존ㄴ나게 부해보이고 덩치 커보여서 스트레스 받음 거기다가 가슴살도 찌면 ㄹㅇ아줌마 같음 키 크면 무조건 말라야 예뻐 보이는듯 
몸이 진짜 좋았던 전남친이 자꾸 생각나요,사실 전남친은 아니고 전전남친사실 그오빠한테 호감느꼈던 가장 큰이유가 날티안나고 지적인 외모였는데 반전이 얼굴하고 안어울리게 진짜 열심히 관리한 딱 보기좋은 건강하고 탄탄한몸이랑 손발톱부터 제모까지 항상 깔끔하게하는 청결한 몸관리 때문이었던게 컸고그오빠가 취업하고 부업으로 다른일까지 하게되면서 평일은물론이고 주말까지 데이트는커녕 얼굴도보기힘든날이 계속돼서 너무 외로워서 헤어지자고했는데그뒤로 다른사람을만나고 또 지금남친도만나지만 아직도 그오빠가 떠오름 이유는모르겠네요전남친 현남친은 그냥 운동안하는 진짜 평범한 우리나라남자들 평균몸인데 지금까지 사겼던남자중 그오빠는 진짜 그런면에서 너무 월등했어요 옆에서 걷기만해도 다른여자들이 다 한번씩은 흘끔거리는게 느껴지는데 그럴때 느껴지는 우월감같은것도있었고 자기관리 잘하는 남자라는 장점 그리고 오빠가 바빠서 자주는 아니었지만 침대에서도 너무좋았고 그냥 지금도 연애중인사람이 이런말하면 안되겠지만 술김에 생각나서 끄적거려보네요 의미없는건알지만 ㅜㅜ 그냥 침대나 소파위에서 뒹굴거리면서 티비보다가 손이 심심하면 그오빠 딴딴한 복근 문질문질하던 그 감촉이 괜히 떠오르고그냥그러네요그렇다고 오빠랑 헤어지고 바로사겼던 전남친이 싫었던것도아니었고 현남친도 사랑하는데 그냥 요즘 자꾸 그오빠가 떠올라요 꿈에서도 가끔 나오고아직 미련있는지 
독립한 딸 집 비밀번호 내용추가 했어요,안녕하세요 작은 고민이 있어서 오랜만에 들어왔어요대 중반에 대학생 딸이 최근에 독립을 했습니다 집 비밀번호를 알려달라 하니 그건 알려주겠는데 하루 전에 연락하고 오라고 하네요 원래 다들 내 딸 집에 가는데 허락 받는지 ㅠㅠ 서운해서 얘기했더니엄마가 내 방 방문 잠그지 말라 했었던거 기억나냐 그때 엄만 여긴 엄마 집이니 싫으면 독립해라고 했다 근데 독립해도 똑같은 기분을 느끼면서 살아야 하냐면서 답했습니다 듣고 보니 맞는 말인데ㅠㅠ 그래도 참 서운하고 걱정돼고 감정이 격해ㅈㅕ서 싸우게 될까봐 나중에 얘기하자고 피한 상태예요  어떻게 타협점을 찾고 싶은데 현명하신 선ㅂㅐ님들의 조언 기다립니다 내용 추가합니다 집 비밀번호 알려달라한건 년 전 딸이 쓰러져서 응급수술을 받아야 하는 상황이 왔었습니다 처음엔 건강하던 딸이였ㄱㅣ에 원인을 몰랐습니다 그러다 구급차에서 딸애 휴대폰으로 온 전화를 받고 갑자기 쓰러지게 된 이유를 알게 됐습니다 친구들한테 속이 안 좋다 머리가 아프다 얘기하고 연락이 없어서 걱정되어서 혹시 몰라 전화했답니다기억을 꺼내는거 조차 눈물나는데위중했어요 의학 드라마에서 한 말을 실제로 많이  들었습니다한 의사 분은 수술 중에 나오더니 마음의 준비를 하라하시더라구요 그 후로 한 달 정도 중환자실에 있었고 수술한지 주 후에 눈을 떳습니다 그때 딸애 폰 노트북 비번을 못 풀어서 고생했던 기억이 납니다 학기 초라 휴학 신청을 해야 하는데 아무것도 모르니 혹시 몰라 그 친구한테 연락해보니 친구들은 비번을 다 알고 있었습니다ㅎㅎ 그덕분에 휴학 신청을 완료했어요 또한 지금도 추적 관찰해야 하는 병입나다 그땐 목숨이 위태로워서 응급조치를 한 거라 올 월 달에 수술 다시 했고 년은 더 지켜봐야 합니다
배민 리뷰 레전드, 
재현 말투 ㅈㄴ웃김,아니 웃기진않고 사실 별거 아닌데 좋음 
후기간편식으로 명절음식 준비한다는 새언니 어떡할까요,후기심란한 마음으로 적은 글인데많은 분들이 댓글 달아주시고하셔서좀 얼떨떨하기도 하고 이래서여러 사람의 말을 들어야하는구나생각이 들기도 하고 욕이 많아서 좀기분이 이상하기도 하고 하네요제 행동이 시누짓이라는 분들에게는저는 정말 새언니를 고깝게 생각한 게 아닌데약간 억울하기도 하고 변명 아닌 변명을 하자면저희 엄마는 제사명절 음식은 가짓수가 적더라도직접 하는 것이 정성이고 그게 당연하다고자주 말하셔서 혹시 엄마가 알게되면큰일이 날 것 같아서 정말 걱정되는 마음으로적은 것이였구요 이것도 못 믿는 분들은어차피 제 의도가 뭐든 자기가 믿고싶은대로믿는 것 같으니 더 길게 말 안 할게요새언니가 아니라 오빠가 일을 벌인 것 같다는 건아예 생각도 못했던 부분이여서 그럴 수도 있겠구나싶기도하고남편이 하자고해도 싫으면 싫다고 할 수 있지않나싶은데이건 뭐 제가 아직 결혼을 안해서 잘 모르겠구요그리고 백만원 준다는 걸 오빠가 모르지는 않았어요엄마가 전화로 너희가 고생하는데 어떻게 엄마가되서가만히 있냐고하면서 돈 백정도 챙겨줘야겠다이렇게 말해서 오빠도 알고 있었고당연히 새언니도 오빠가 말해서 들었겠죠그리고 속여서 가져가는게 보기 안 좋다 적은 건오빠가 결혼 전에도 엄마한테 거짓말 치고돈 받아가고 그런 적이 많아서 그냥 그거때문에별로다라는 식으로 적은거였구요후기 아닌 후기를 적자면저는 엄마한테 말할 생각이 없구요그냥 가만히 있을 생각이에요댓글 대부분 의견들처럼 저는 앞으로오빠네와 부모님의 일에서 그냥 신경 끄려구요그리고 새언니에게는 저의 행동 하나하나가부담일 수 있다는 것도 잘 새겨듣겠습니다모두 추석 잘 보내세요ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ안녕하세요여기가 결혼하신 분들이 많이 이용하는 게시판이라아직 미혼이지만 글을 올리게되었습니다글을 올리게 된 이유는 저희 새언니때문인데요제가 어떡하면 좋을지 제발 봐 주세요저희 오빠는 작년 초에 결혼을 했구요결혼하고 얼마 되지도 않아 코로나가 터져가족들 다같이 만나는 횟수도 줄이고새언니가 우릴 불편해하는 것 같아안부 연락도 오빠에게만 했습니다새언니가 대학병원 간호사라빨간날 이런 것 상관없이교대근무 돈다고 알고있어요저희 집엔 년에 총 번의 제사가 있고아직 할아버지가 살아계셔서 제사가 좀 많아요명절 번까지 하면 흔히 말하는 명절 음식같은전 부치고 하는 음식을 해야하는 일정이 많은데요새언니 직업도 그렇고 결혼한지 얼마 되지도 않아서손에 익지도 않은 요리하는게 불편할테니엄마가 괜히 새언니한테 부담주지말고우리 둘이 하던대로 하자해서 여지껏 그렇게 했습니다참고로 저희 집은 여자만 음식하고 그런 집은 아니에요아빠는 손재주가 없으셔서 밀가루 묻히고계란물 푸시고 하는 거랑 설거지 전담해서 하세요아무튼 이번 추석은 오빠를 빼고 다 차 접종까지 완료해서엄마가 오빠한테 전화해서 물어보니 집에 온다하더라구요마침 새언니도 올 추석은 쉰다고 했구요그러면서 하는 말이 제대로 참석하는 명절은 이번이처음인 것 같다고 명절 음식을 새언니가 다 준비할거니까엄마랑 저한테 올해는 아무것도 하지말라고 하더라구요아무래도 양이 양인만큼 오빠가 도와줘도새언니 혼자 하기는 힘들 것 같아부담되지 않는다면 제가 가서 도와주고싶어오빠한테 연락을 했는데 오빠가 계속 괜찮다고 하다말이 길어지니 새언니가 요즘 흔히 말하는 간편음식같은 걸로 전부 다 준비하려고 한다하더라구요그러면서 저한테는 엄마한테 절대 말하지말라그랬구요근데 저는 도저히 이해가 가지 않아서요저희는 단 한번도 새언니에게 음식 준비로스트레스 받게 한 적이 없는 것 같은데왜 저런 거짓말까지 치는지 모르겠어요가끔 안부 인사로 집에 왔을 때도주방에 못 들어가게 했습니다저는 그럴거면 그냥 엄마한테 다시 말해서음식 준비를 하는 게 좋을 것 같은데이미 새언니가 저렇게 말해놔서제가 엄마한테 사실대로 말하면 고자질하는 상황인데그럼 나중에 새언니 얼굴 보기도 좀 그럴 것 같고엄마가 새언니 혼자 음식 준비하면 힘들거라고엄마가 오빠네한테 돈을 만원 줄 생각인 것 같은데엄마 속이고 돈 받아가는게 보기 좋지도 않구요저는 어떡하면 좋을까요
시할머니분 다 뵙고 뻗어있는 아내한테 왜 피곤하냐고 하는 남편,토욜날 하루종일시할머니 시외할머니 보고 왔어요저희 반반결혼이고 결혼전 명절 스케쥴 약속 다 틀어졌지만이해했어요수요일은 따로 시부모님도 보러가야해요암튼 어제 다녀오고 제가 뻗고아침에 같이 외출하는데순간적으로 기운이 빠졌는데왜 그렇게 피곤해하냐길래제가 아 좀 피곤하네ㅜ 햇더니잠 많이 잤잖아이러는 겁니다ㅡㅡ그리고 또 외출 후에 돌어올 때진짜 극심하게 피곤해서지하철에서 졸고남편한테 와피곤하네 햇더니약간 기분 상한듯왜 피곤한데이럽니다ㅡㅡ수요일날 저녁에는 시댁 가기로 햇는데자기 엄마가 저를 배 려 해준 거래요솔직히 기회봐서 되물을려구요저희친정은 월욜 저녁에 볼건데시댁 스케쥴이 몇배나 많앗는데뭘 배려해준건지남편은 지 친구들 집들이때문에하루종일 제가 요리하고 하루 보내고다음날 하루종일 뻗어있다가아공 피곤하다짜증투 아님 남편한테 거의 짜증 안내요하면되게 무심하게잠만 자니까 그렇지이러고시댁가면얘 토욜마다 잠만 자요맞벌이 반반결혼이러거나제가 그날 연가였다 치면얘 안피곤해요 오늘 연가에요 이러고제가 술 한달에 한번 마실 때남편은 매주 번은 마시면서제가 한번은 이런 남편땜에 우울해서일부러 맨정신인데꼬장 부린적이 있거든요울고요한 번 그랬어요저는 남편하고 아니면 술 마시지 않고마셔봐야 잔 마시고 잔 이상 마시는건 거의 반년에 한번이에용시아버지가 저에게 술을 권하니까남편이얘술꾼이에요 이러더라고요그래서 시어머니가어머 뭔 일있니 이러시더라고요그때 자기가 매일 마시던 때였거든요이 남편이랑 살면늘 너무너무 억울하고치사하고해도해도 고마운걸 모르고오히려 당연히 여기고자기가 배려햇다고 진심으로 믿고 있어서우울증 걸ㄹㅣㄹ 거 같고너무 억울해서 정신과도 갔었어요이런 남편 이유가 뭐고이런 남자 보신적 있어요이 남자를 어떻게 해야할까요이제는 누가 건들면 눈물날 거 같아요원인이 뭘까요 저를 개 만만하게 보는 건 순위구여제가 볼 때는나르시시스트같아요
솔직히 나는 비만혐오 있다없다 추반,뚱뚱한 사람 보기 싫거나 뚱뚱한 사람 보고 왜저러고 살지 란 생각해본적 있거나 비만혐오 한다ㅡ추 비만혐오 안한다ㅡ반솔직히 나는 조금은 하는 거 같아 그래도 대놓고 말하진 않음 걍 속으로만 생각해뷰티톡
헐 카리나가 로잘린한테 선물줫나봄,댑악 아니 내가 ㅈㄴ 무슨 세상사람들아 모두 이 미친 소식을 당장 봐보렴 대박 대박 요지랄한것도 아니고 그냥 신기하다ㅇㅇ 대박 이런건데 그게 뭔 대박이냐 ㅇㅈㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 너네 친구 없지 ㅆㅂ
빅톤팬들한테 예전부터 궁금한게 있는데,일단 난 타팬이고 빅톤팬 친구 판에서 올라온 글 등등으로 궁금증이 생기게 됐음 예전에 빅톤 살짝 간잽했었는데 갑자기 팬덤 분위기가 험악해져서타팬인증항상 빅톤 관련해서 판에 올라오는 글들 보면 멤버차별 소속사 대우 이런 글들이 많던데 팬덤싸움이 심해누구팬이 잘못했니 누가 잘못했니 이런 글이 많던데 이런건 팬톡가서 얘기하면 좋겠고보아하니 팬톡 물 안흐리려고 엔터에다만 글 쓰는 것 같아서일단 난 지금 아무것도 모르는 상태에서 물어보는게 아니라 몇몇 일들 찾아봤어친구한테 듣고 판에서 본거로는 회사가 한승우 최병찬을 배척한다 팬들도 그 둘을 배척하는 사람들이 좀 있다 무조건 개인팬이라는 이유로 잘못을 몰아간다 뭐만 하면 프듀팬들 유난이라고 한다 저 둘 코디가 개ㅈ같다그 외에 회사는 팬들 건의사항 먹금에다 팬들은 서로 입막음 등등이 있던데 서로 왜 싸우는거야프듀때는 가족이라면서 가족같은 분위기로 영업하지 않았어그렇게 사이좋던 팬덤이 갑자기 사이가 진짜 개나빠져서 궁금해서 물어보는거야나 간잽할때 프듀멤들 내려치기 이용해서 타멤들 올려치기 했었는데 지금까지 한 성과가 그리 없으니 그렇게 올려치기 할 만큼의 능력은 아닌것같고그룹팬들이 개인팬들 싫어하는 이유가 오직 개인을 좋아하는 팬 이어서만인거야 그런거면 그건 개인의 자유인데암튼 엔터에서 싸우는거 보면 정신병 걸릴 것 같음
투바투 연준 다이어트후기,투바투 연준 낮에만 먹고 굶는다한거 보고 낮에만 먹고 홈트 아침에 분 밤에 분 하고 걍 중간중간 애들이랑 산책했는데 일만에 키로빠짐 그동안 엄청 쳐먹긴했나바ㅜ둘째날까지는 배고파 뒤질거같았는데 뭔가 셋째날부터 앵간 참아지고 지금도 먹고싶긴한데 그때만큼 간절히 저녁에 뭐 먹고싶진않음 굳 얼굴살뺄려고 한건데 배쪽이랑 엉덩이쪽 빠진거 같음 오늘 일차고 점심은 대패삼겹살이랑 된찌랑 밥머금 키로 더빠짐솔직히 요요오기 딱좋긴한데 난 까지빼고 급식은 먹고 저녁으로 샐러드 먹으면서 유지하면서 점점 일반식으로 바꿀려고 처음 일일 정도까지 힘들고 그 다음부터는 쉬웠어 난 지금도 당근 치킨 마라탕 다 먹고 싶은데 뭔가 그때 만큼 식욕이 막 돌진 않오 
슈가 얼굴 뭐야,핑크색 머리 뭐야 진짜 뭐야 이게 뭐야 하늘색 잘 받는 거 뭐야 요정 아니야 
스테이크집 원짜리 식사, 
최근 역대급 인맥 남돌,오타쿠 심장 뛰게하는 에이티즈 월일날 컴백했어더블타이틀 데자부랑  이터널선샤인으로 섹시도 하고 청량도 하고 감격항상 그렇듯 작사 작곡에 홍중이랑 민기 참여했어데자부는 섹시하나로 설명 쌉가능 뭘 하던지 티즈들 열심히 해서 티니들이 너무 사랑할 수 밖에 없음 이번 데자부는 걍섹시정점 찍었어그리고 더블타이틀인 이터널선샤인은 청춘에대한 영원한 소망을 표현하는 청량탄산수같은 곡이야 소년미 낭낭그리고 개인적으로 이번 앨범의 수록곡인 밤하늘 굉장히 좋아하는데 이 곡은 티즈들 마음이 다 전해지는 곡이야 꼭 추천 듣고 운건 안비밀  펑펑 울었다이번 타이틀곡 투표할때 문별님광희님은혁님김종국님노제님신동엽님홍윤화김민기님싸이님노노카님지연님제시님비님펜타토닉스의 스캇호잉님 등등 많은 연예인분들께서 참여해주셨는데 두곡 다 좋아서 두개 다 하기로 해써 그렇게 됬다 ㅎ그리고 임영웅님이 덕질하시는 에이티즈뿌듯ㅇ자랑이야그럼 멜론 지니 바이브 벅스에서 데자부랑 이터널 선샤인 많이 들어주세요 컴백 많관부그리고 여기 추천영상 하이퍼링크 달아놨으니 가서 꼭 봐주라데자뷰 뮤비밤하늘유희열의 스케치북에서 종호가 사과 뿌시면서 노래부르는거그리고 다음주 놀토에 우영이랑  이 나오니까 본방사수 해쥬세요 
아내가 채팅으로 만난 유부남과 원나잇을 했습니다,너무 기가 차서 손이 부들부들 떨립니다아내가 오픈채팅으로 만난 유부남과 모텔에 가서 원나잇을 한 사실을 알게 되었습니다아내가 무수한 남자들과 아내와 같은 불륜 저지르려는 유부녀들이 가입한 소개팅어플을 통해오픈채팅으로 유부남을 만난 거였습니다자식은 살 딸 한명 있고너무 기가 찰 지경입니다 차라리 상간남이 있고 한명의 남자와 바람피우는 것도 아니고 여러남자와 채팅하고 만나고 심지어 내가 잠자리 기술이 부족하다니 이런 추잡스런 소리까지 채팅에 버젓이 써놓았습니다 아내는 오히려 뻔뻔합니다난 당신같이 볼품없이 날 만족시키지 못하는 남자는 싫다고 이혼하자면 이혼하잡니다거기다가 애는 못키우겠다고 내가 키우랍니다아내에 대한 배신감에 화보다는 너무 기가 차네요 결혼생활이 이렇게 끝나다니너무 허무합니다 
미국 공항 일하시는분들이 방탄,오니까 다 핸드폰 꺼내놓고 사진 찍고있음ㅋㅋㅋ근데 미국 아미들 약간 뿔났던데 아미들 ㅈㄴ많이갔나봄 
현상금 만원이 걸렸던 슈퍼마리오 버그의 비밀, 
남편 남동생한테 쌍욕먹었어요,남편이 집안 대소사 다 챙기고 돈번것도 다 그리로 나가요생활비는 쥐꼬리만큼 주고 부모형제들한텐 엄청잘하고 친구들한테도 잘하고이웃들한테도 잘하는데 정작 지 처자식한테는 신경도 안써요요번에 시어머니 소천하셨는데 또 그 모든부대비용을 자기가 다 감당한다는거에요진짜 참다참다 그 슬픈자리에서 폭발을 해버렸어요왜 우리도 여유가  없는데 혼자 비용을 다 감당하냐고아주버님이랑 서방님은 뭐하시는거냐고 화가 잔뜩나서성질부리는데  서방님이 갑자기 욕을해대면서지금 이자리가 어느자린데 난동을 부리나면서죽일듯이 쳐다보고 험한말을 하더라구요도저히 감정붙들고 있을수없어 장지도 안가고혼자 울면서 집에왔네요진짜 너무 서러워요
수진 탈퇴 다음날 올라왔던 기사, 
